>k115_2074
1	1848	+	1	1.359376	I:	D:
2089	2697	+	1	1.309097	I:	D:
2711	3005	-	2	1.324067	I:	D:
>k115_9501
1	1346	-	3	1.338244	I:	D:
1741	1872	+	1	1.284079	I:	D:
1884	1994	+	3	1.278770	I:	D:
2007	2261	-	3	1.317730	I:	D:
2470	3195	+	1	1.359347	I:	D:
3332	4036	+	2	1.339886	I:	D:
4061	4624	+	2	1.345144	I:	D:
4762	5934	+	1	1.344421	I:	D:
6017	6124	-	2	1.307176	I:	D:
6313	6630	-	1	1.343808	I:	D:
>k115_7445
21	128	+	3	1.313396	I:	D:
181	360	+	1	1.313632	I:	D:
382	1677	+	1	1.351900	I:	D:
2085	2243	-	3	1.304548	I:	D:
2280	2468	-	3	1.335097	I:	D:
2473	2736	-	1	1.327607	I:	D:
2886	2975	+	3	1.256715	I:	D:
3270	4100	-	3	1.378491	I:	D:
4234	4834	+	1	1.346517	I:	D:
>k115_5802
1	911	-	3	1.335088	I:	D:
984	1475	+	3	1.355061	I:	D:
1513	1884	+	1	1.341410	I:	D:
1992	2852	+	3	1.346611	I:	D:
2885	3512	+	2	1.335323	I:	D:
>k115_4957
1	784	+	2	1.313636	I:	D:
870	1412	+	3	1.328261	I:	D:
1726	3474	-	1	1.337678	I:	D:
3630	4628	-	3	1.307525	I:	D:
4735	5748	-	1	1.334409	I:	D:
5854	5979	+	1	1.337102	I:	D:
6333	7850	-	3	1.332280	I:	D:
7942	8481	+	1	1.334263	I:	D:
8541	9053	+	3	1.300959	I:	D:
9194	10366	+	2	1.327526	I:	D:
10530	11171	+	3	1.332404	I:	D:
11275	11613	-	1	1.303686	I:	D:
11704	14344	+	1	1.319847	I:	D:
>k115_7447
1	250	-	2	1.339250	I:	D:
516	623	-	3	1.269666	I:	D:
689	859	+	2	1.335175	I:	D:
917	1795	-	2	1.341035	I:	D:
1949	2761	-	2	1.319843	I:	D:
2813	3079	-	2	1.388457	I:	D:
3212	4921	-	2	1.341546	I:	D:
>k115_1665
157	429	+	1	1.359575	I:	D:
457	1053	-	1	1.314982	I:	D:
1087	1281	-	1	1.337518	I:	D:
1358	2731	+	2	1.331192	I:	D:
>k115_3739
1	192	-	1	1.353107	I:	D:
326	910	-	2	1.316368	I:	D:
1032	2318	-	3	1.313392	I:	D:
2555	2629	+	2	1.265450	I:	D:
2636	2755	+	2	1.331672	I:	D:
2772	2840	-	3	1.264050	I:	D:
2956	3747	+	1	1.355791	I:	D:
3855	3992	-	3	1.322128	I:	D:
4071	4226	+	3	1.363966	I:	D:
4483	5709	+	1	1.361038	I:	D:
5745	6212	+	3	1.355800	I:	D:
6352	6699	+	1	1.357799	I:	D:
6750	7019	-	3	1.385571	I:	D:
7055	7486	+	2	1.372753	I:	D:
7492	7902	+	1	1.334644	I:	D:
